ruang,date_time,beacon1,beacon2
Ruang 2,19:46:43,0,0
Ruang 2,19:46:49,0,-62
Ruang 2,19:46:55,0,0
Ruang 2,19:47:1,0,0
Ruang 2,19:47:7,0,0
Ruang 2,19:47:13,-59,-76
Ruang 2,19:47:19,0,-72
Ruang 2,19:47:25,0,0
Ruang 2,19:47:31,-62,-80
Ruang 2,19:47:37,-53,-75
Ruang 2,19:47:43,-53,0
Ruang 2,19:47:49,-60,-69
Ruang 2,19:47:55,-56,-72
Ruang 2,19:48:1,-62,-76
Ruang 2,19:48:7,-56,-69
Ruang 2,19:48:13,-60,-70
Ruang 2,19:48:19,-66,-72
Ruang 2,19:48:25,-55,-81
Ruang 2,19:48:32,-57,-71
Ruang 2,19:48:38,-56,-79
Ruang 2,19:48:44,-57,-84
Ruang 2,19:48:50,-56,-73
Ruang 2,19:48:56,0,0
Ruang 2,19:49:2,0,-68
Ruang 2,19:49:8,-56,0
Ruang 2,19:49:14,-73,-66
Ruang 2,19:49:20,0,-72
Ruang 2,19:49:26,-58,-82
Ruang 2,19:49:32,-73,-75
Ruang 2,19:49:38,0,-75
Ruang 2,19:49:44,-56,-72
Ruang 1,19:50:12,0,0
Ruang 1,19:50:18,-85,-68
Ruang 1,19:50:24,-90,-74
Ruang 1,19:50:30,-88,-70
Ruang 1,19:50:36,-80,-65
Ruang 1,19:50:42,-90,-71
Ruang 1,19:50:48,-84,-67
Ruang 1,19:50:54,-80,-72
Ruang 1,19:51:0,-73,-65
Ruang 1,19:51:6,-60,-71
Ruang 1,19:51:12,-63,-71
Ruang 1,19:51:18,-74,-73
Ruang 1,19:51:24,-63,-68
Ruang 1,19:51:30,-73,-66
Ruang 1,19:51:36,-66,0
Ruang 1,19:51:43,-64,0
Ruang 1,19:51:49,-73,-96
Ruang 1,19:51:55,-60,-68
Ruang 1,19:52:1,0,-66
Ruang 1,19:52:7,0,-82
Ruang 1,19:52:13,0,-62
Ruang 1,19:52:19,0,-62
Ruang 1,19:52:25,0,-63
Ruang 1,19:52:31,0,-69
Ruang 1,19:52:37,0,-62
Ruang 1,19:52:43,0,-76
Ruang 1,19:52:49,0,0
Ruang 1,19:52:55,0,0
Ruang 1,19:53:1,-65,-82
Ruang 1,19:53:8,-65,-70
